Time,Power,Operation,FR,CR,Rho,Insert_Rho
79,1.94251E-09,1.87016E-09,3.99,22.62,12.97,1032.61
80,1.94577E-09,1.62705E-09,3.99,22.62,12.97,1032.61
81,1.94904E-09,1.88907E-09,3.99,22.62,12.97,1032.61
82,1.95231E-09,1.63381E-09,3.99,22.62,12.97,1032.61
83,1.95558E-09,1.92456E-09,3.99,22.62,12.97,1032.61
84,1.95886E-09,1.45026E-09,3.99,22.62,12.97,1032.61
85,1.96214E-09,1.89003E-09,3.99,22.62,12.97,1032.61
86,1.96542E-09,1.44172E-09,3.99,22.62,12.97,1032.61
87,1.96871E-09,1.96707E-09,3.99,22.62,12.97,1032.61
88,1.972E-09,1.16296E-09,3.99,22.62,12.97,1032.61
89,1.97529E-09,1.97552E-09,3.99,22.62,12.97,1032.61
90,1.97859E-09,1.78033E-09,3.99,22.62,12.97,1032.61
91,1.98189E-09,1.91508E-09,3.99,22.62,12.97,1032.61
92,1.9852E-09,1.62476E-09,3.99,22.62,12.97,1032.61
93,1.98851E-09,1.92447E-09,3.99,22.62,12.97,1032.61
94,1.99182E-09,1.49205E-09,3.99,22.62,12.97,1032.61
95,1.99514E-09,1.99019E-09,3.99,22.62,12.97,1032.61
96,1.99846E-09,1.45094E-09,3.99,22.62,12.97,1032.61
97,2.00179E-09,2.00117E-09,3.99,22.62,12.97,1032.61
98,2.00512E-09,1.3102E-09,3.99,22.62,12.97,1032.61
99,2.00845E-09,2.01121E-09,3.99,22.62,12.97,1032.61
100,2.01179E-09,1.77057E-09,3.99,22.62,12.97,1032.61
101,2.01513E-09,2.01586E-09,3.99,22.62,12.97,1032.61
102,2.01848E-09,1.65374E-09,3.99,22.62,12.97,1032.61
103,2.02183E-09,1.93577E-09,3.99,22.62,12.97,1032.61
104,2.02519E-09,1.64357E-09,3.99,22.62,12.97,1032.61
105,2.02855E-09,1.87051E-09,3.99,22.62,12.97,1032.61
106,2.03191E-09,1.54326E-09,3.99,22.62,12.97,1032.61
107,2.03528E-09,2.04839E-09,3.99,22.62,12.97,1032.61
108,2.03866E-09,1.34072E-09,3.99,22.62,12.97,1032.61
109,2.04204E-09,1.98864E-09,3.99,22.62,12.97,1032.61
110,2.04542E-09,1.11173E-09,3.99,22.62,12.97,1032.61
111,2.04881E-09,1.975E-09,3.99,22.62,12.97,1032.61
112,2.0522E-09,1.49261E-09,3.99,22.62,12.97,1032.61
113,2.05559E-09,1.95637E-09,3.99,22.62,12.97,1032.61
114,2.059E-09,1.16285E-09,3.99,22.62,12.97,1032.61
115,2.0624E-09,1.90884E-09,3.99,22.62,12.97,1032.61
116,2.06581E-09,1.36235E-09,3.99,22.62,12.97,1032.61
117,2.06923E-09,1.88915E-09,3.99,22.62,12.97,1032.61
118,2.07265E-09,1.90535E-09,3.99,22.62,12.97,1032.61
119,2.07607E-09,1.93832E-09,3.99,22.62,12.97,1032.61
120,2.0795E-09,2.12382E-09,3.99,22.62,12.97,1032.61
121,2.08294E-09,1.92951E-09,3.99,22.62,12.97,1032.61
